user,location,source,place,created_at,geo_enabled,friends_count,text,retweet_count,retweeted_status
Jitendr70515197,,Twitter for Android,,2022-08-17 08:20:37,False,56,Boycott forever not only arjun kapoor but whole bollywood #BollywoodBoycott #BoycottbollywoodForever  #BoycottVikramVedha #ArjunKapoor,0,False
AgrahriNikhil,ofcourse its a Dark World,Twitter for Android,,2022-08-17 08:20:18,False,269,"@SumitkadeI @taapsee  🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣

You don't deserve Boycott, Bollywood is  Rejected, Rejected a… https://t.co/ajXDaoCTMp",0,False
itsnorthen_z,Planet Earth 🌍,Twitter for iPhone,,2022-08-17 08:19:52,True,30,@AMIT_GUJJU We will #BoycottbollywoodForever what will you do Mr. @arjunk26 ? By the way your movies don’t deserve even boycotts.,0,False
IND_Rhms, उत्तर प्रदेश भारत,Twitter for Android,,2022-08-17 08:19:43,False,58,"Boycott the hypocrite Bollywood #BoycottPathanMovie
#BoycottbollywoodForever https://t.co/bGFbC4MwWu",0,False
Varunpratap1910,Union of India,Twitter for Android,,2022-08-17 08:18:27,False,764,Agreed #BoycottbollywoodForever,0,False
ram_ummed,,Twitter for Android,,2022-08-17 08:17:31,False,446,@AMIT_GUJJU I haven't watched a single Bollywood movie since last 2 years. #BoycottPathanMovie… https://t.co/U49HCS4gXm,2,False
sing07200403,Amritsar,Twitter Web App,,2022-08-17 08:17:24,False,4,#JacquelineFernandez who has been questioned n connection with the  ₹200 crore money laundering case linked to alle… https://t.co/oz7PPl39Wl,1,False
Mini_220,,Twitter Web App,,2022-08-17 08:16:43,False,1147,"#ViralVideo of a convent educated #Muslim Pakistani aunty
Allah hates #Hindus

#AamirKhan #SalmanKhan &amp;… https://t.co/mfGDnydEAL",0,False
Itachiisgrt,,Twitter Web App,,2022-08-17 08:16:38,False,2,@TheofBollywood @PathaanTheFilm @iamsrk @SRKCHENNAIFC @SRKUniverse #BoycottVikramVedha #BoycottbollywoodForever… https://t.co/zOHCS6riyT,0,False
pad_71,,Twitter for Android,,2022-08-17 08:16:18,False,3149,"Who are you?? And WHO THE HELL IS HE??? Tell him mere taraf se BHAAAAAAAAAAAADMEI JAAO 😆

#BoycottbollywoodForever… https://t.co/3xeCOUsnBZ",2,False
AntiFem34081818,,Twitter Web App,,2022-08-17 08:15:27,False,94,"ONE FAMILY, ONE RESERVATION - Sign the Petition! https://t.co/azaXmclH1D via @ChangeOrg_India 

Pls sign #mentoo… https://t.co/PcaBLBftX4",0,False
